,id,comp-1,comp-2,first_author_female,last_author_female,majority_female_binary,topic,climatejusticescore
7085,454529,-26.936367,10.865952,0.0,unknown,unknown,Topic69,0.14744101464892653
7086,454622,-3.108438,-48.65538,0.0,0.0,0.0,Topic16,0.051036125424015505
7087,454774,19.068424,12.995939,1.0,1.0,1.0,Topic37,0.5259757157433533
7088,454786,45.508865,-2.97554,0.0,0.0,0.0,Topic81,0.3699076850969853
7089,454890,-25.668243,-18.038244,0.0,1.0,0.0,Topic111,0.05111565318773059
7090,454899,20.403936,9.435799,1.0,1.0,0.0,Topic37,0.3396394776974546
7091,454933,-9.300962,-28.658117,0.0,0.0,0.0,Topic20,0.031049291886877897
7092,454936,2.1326358,13.207358,0.0,1.0,1.0,Topic107,0.11495499781204091
7093,454957,10.6869545,24.239422,0.0,1.0,0.0,Topic78,0.18509369238566292
7094,454981,-13.225925,35.52335,0.0,0.0,0.0,Topic115,0.0224546577298535
7095,455084,31.593275,-27.933367,unknown,1.0,unknown,Topic103,0.0927435233046761
7096,455165,20.846771,-28.94188,1.0,1.0,1.0,Topic106,0.09542025841667702
7097,455362,-12.565313,-36.449665,0.0,1.0,0.0,Topic11,0.010464082689253676
7098,455395,-18.402384,6.7981086,0.0,unknown,unknown,Topic116,0.1134790560826309
7099,455468,8.31279,-27.565311,0.0,0.0,0.0,Topic65,0.2467754062336852
7100,455508,38.543415,15.712698,1.0,1.0,1.0,Topic44,0.5807171513655376
7101,455533,42.026672,16.811043,0.0,1.0,0.0,Topic44,0.41927515831765616
7102,455638,28.28686,-24.78282,0.0,0.0,unknown,Topic25,0.3044799690818918
7103,455722,-39.643925,-5.0695586,1.0,0.0,0.5,Topic64,0.0359682183264114
7104,455810,35.688007,16.732567,1.0,0.0,1.0,Topic44,0.24637024630161766
7105,455863,-21.664923,-4.038548,0.0,0.0,0.0,Topic90,0.009284141080528559
7106,455867,10.821319,35.132496,0.0,1.0,0.0,Topic84,0.0727058565660967
7107,455880,33.206818,12.621471,1.0,0.0,0.5,Topic102,0.3408701943323232
7108,455916,0.6139374,15.456939,0.0,0.0,0.0,Topic61,0.12149315544540738
7109,455934,44.667107,4.967539,0.0,0.0,0.0,Topic80,0.3596970214376864
